,dot_name,population,latitude,longitude,area
0,nigeria:borno:abadam:yawa,5.353009223937988,13.64651951729111,13.302174175511134,0.0032598290800768927
1,nigeria:borno:abadam:foguwa,18.09738540649414,13.425916369072343,13.005505054477894,0.03822633847853919
2,nigeria:borno:abadam:jabullam,10.222192764282227,13.48312434528586,13.122688551376887,0.011186023095693132
3,nigeria:borno:abadam:yau,6.884362697601318,13.513486650269488,13.228541465014027,0.0094358531754851
4,nigeria:borno:abadam:kudokurgo,6.364468097686768,13.636645989876946,13.473393057929048,0.017577535278846035
5,nigeria:borno:abadam:yitiwa,9.560137748718262,13.571590596850346,13.35368964326013,0.015818614412815547
6,nigeria:borno:abadam:busuna,3.190525531768799,13.695082160800299,13.345698230520624,0.0012700825805582062
7,nigeria:borno:abadam:kessaa,5.395994663238525,13.687165099186796,13.484309291216016,0.011210974215775653
8,nigeria:borno:abadam:banowa,30.238155364990234,13.19965345909801,13.193723473304061,0.08285906946555549
9,nigeria:borno:abadam:arge,34.797698974609375,13.425639024080809,13.460578683458815,0.14205840988063095
10,nigeria:borno:askira/uba:uvu uda,8.741914749145508,10.48423552740965,13.090217337033906,0.00801152739375062
11,nigeria:borno:askira/uba:wamdeo giwi,16.02276039123535,10.553484794175791,13.108011269694925,0.013632062049471497
12,nigeria:borno:askira/uba:askira east,9.252946853637695,10.632219411718438,12.965816498538805,0.006433940945943307
13,nigeria:borno:askira/uba:hausari tampul,15.700201988220215,10.570184743664273,13.215483626352208,0.009757720413843249
14,nigeria:borno:askira/uba:lassa,7.186640739440918,10.694351758608484,13.265491300271437,0.0033711836238888813
15,nigeria:borno:askira/uba:uba,17.754772186279297,10.460133032870875,13.187638894053382,0.00579337804740915
16,nigeria:borno:askira/uba:mussa,21.986778259277344,10.719970283119348,13.076370963079842,0.022671402089355433
17,nigeria:borno:askira/uba:ngulde,15.048399925231934,10.658370083061541,12.558291394063593,0.04107565447646117
18,nigeria:borno:askira/uba:hausari zadawa,12.047318458557129,10.621602851461933,12.888855491218775,0.0161678326657103
19,nigeria:borno:askira/uba:dille huyim,27.960206985473633,10.807652459264022,13.177292132449669,0.032214581863354685
20,nigeria:borno:askira/uba:ngohi,26.343212127685547,10.633351306021291,12.711979955882237,0.03842142001851636
21,nigeria:borno:askira/uba:ngurthavu kopa,14.00802993774414,10.79658620123464,13.289983114160487,0.012545777270764336
22,nigeria:borno:askira/uba:rumirgo chul,15.07791805267334,10.613830387796197,13.08993657326334,0.012097516874180689
23,nigeria:borno:bama:gulumba,27.067115783691406,11.65586268111138,13.975007641255813,0.04137228605918522
24,nigeria:borno:bama:bogomari,34.6838264465332,11.524291719362978,14.002955155248008,0.048908446324358756
25,nigeria:borno:bama:amchaka,13.712167739868164,11.48611254486635,14.301220615952895,0.019820591465048776
26,nigeria:borno:bama:yabiri,20.09347915649414,11.389241507263726,14.064338730285005,0.02251396257525242
27,nigeria:borno:bama:andara,17.693363189697266,11.380614502619501,14.315188761278048,0.02944789286328934
28,nigeria:borno:bama:goniri,4.9279704093933105,11.481400839715562,13.613261907222746,0.005707380100027507
29,nigeria:borno:bama:zageri,14.839241981506348,11.712594967589485,14.173597461720329,0.023916446382379164
30,nigeria:borno:bama:soye,59.03935623168945,11.414024477860531,13.765291314488357,0.036796851198956815
31,nigeria:borno:bama:banki,13.35207748413086,11.299337411226306,14.125762065764837,0.013152685094095368
32,nigeria:borno:bama:kasugula,21.353309631347656,11.518094564819746,14.17508772195696,0.017407884310201783
33,nigeria:borno:bama:dipchari,14.979949951171875,11.345903743359141,13.939529183368526,0.009172101546591677
34,nigeria:borno:bama:abbaram,14.632051467895508,11.666626218826533,13.768368930172283,0.03863063520890331
35,nigeria:borno:bama:kumshe,3.8255341053009033,11.413541197884896,14.203686317207096,0.004654468051321998
36,nigeria:borno:bama:shehuri,26.41387176513672,11.535345747925577,13.707571789042884,0.011841840000409169
37,nigeria:borno:bayo:fikayel,3.4419734477996826,10.557844824104645,11.604148252315476,0.0022311684566414317
38,nigeria:borno:bayo:balbaya,7.160457611083984,10.597044479834256,11.75925452447825,0.010026064079308367
39,nigeria:borno:bayo:gamdadi,8.937129974365234,10.341380006270716,11.568775691467097,0.0038005121481763868
40,nigeria:borno:bayo:wuyo,27.842697143554688,10.367077671148524,11.748521487509837,0.021379517005005462
41,nigeria:borno:bayo:limanti,12.708033561706543,10.572486924561149,11.666544465402847,0.009577986119128698
42,nigeria:borno:bayo:telii,7.77239465713501,10.456302667806597,11.679693983536142,0.008319904994086857
43,nigeria:borno:bayo:jaragol,8.297971725463867,10.269399336620616,11.62829110579227,0.007787829345650294
44,nigeria:borno:bayo:zara,3.299875259399414,10.692805489174203,11.79450818557828,0.005187739003702301
45,nigeria:borno:bayo:jaradali,14.37916088104248,10.264500753216314,11.71695915095179,0.012625405979308859
46,nigeria:borno:bayo:briyel,10.673386573791504,10.377513827866412,11.62318324374609,0.0054969821625748885
47,nigeria:borno:biu:miringa,12.127882957458496,10.738551405527124,12.146499076031429,0.00815892024526911
48,nigeria:borno:biu:silumthla,3.3367607593536377,10.610360372023667,12.206488685609816,0.00040792622768989414
49,nigeria:borno:biu:buratai,41.70661163330078,10.942566526911298,12.143761697539043,0.08245330878437683
50,nigeria:borno:biu:gur,18.012527465820312,10.810426400765802,12.284021327829702,0.032640200826290655
51,nigeria:borno:biu:mandaragirau,11.975457191467285,10.683272438227334,12.380357322996762,0.02457257432528635
52,nigeria:borno:biu:galdimari,5.915904521942139,10.604722742415854,12.179603780697391,0.0006747383447082867
